plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd hash MB isEngine nROCs power mrot phi HDorLD hash_hdld
1 6 3 FM 753.500 435.000 1 6 753.500 338.400 837.200 386.700 837.200 483.400 753.500 531.700 669.800 483.400 669.800 386.700 753.500 338.400 0 0 2.862 3.000 1.105 2.000 1.088 1.000 106030 9 False 3 3.600 1 29.998 0 106030
1 7 3 FM 920.900 435.000 0 6 920.900 338.400 1004.600 386.700 1004.600 483.400 920.900 531.700 837.200 483.400 837.200 386.700 920.900 338.400 0 0 2.229 3.000 0.868 1.000 0.847 1.000 107030 7 False 3 3.600 0 25.284 0 107030
1 8 3 FM 1088.400 435.000 0 6 1088.400 338.400 1172.100 386.700 1172.100 483.400 1088.400 531.700 1004.600 483.400 1004.600 386.700 1088.400 338.400 0 0 1.837 2.000 0.744 1.000 0.724 1.000 108030 7 True 3 3.600 0 21.785 0 108030
1 9 3 FO 1255.800 435.000 0 6 1255.800 338.400 1339.500 386.700 1339.500 483.400 1255.800 531.700 1172.100 483.400 1172.100 386.700 1255.800 338.400 0 0 1.659 2.000 0.598 1.000 0.593 1.000 109030 7 False 3 3.600 0 19.106 0 109030
1 5 4 FM 502.300 580.000 1 6 502.300 483.400 586.000 531.700 586.000 628.400 502.300 676.700 418.600 628.400 418.600 531.700 502.300 483.400 0 0 3.317 4.000 1.338 2.000 1.333 2.000 105040 11 False 3 3.600 1 49.106 0 105040
1 6 4 FM 669.800 580.000 1 6 669.800 483.400 753.500 531.700 753.500 628.400 669.800 676.700 586.000 628.400 586.000 531.700 669.800 483.400 0 0 2.780 3.000 1.072 1.000 1.054 1.000 106040 10 False 3 3.600 1 40.890 0 106040
1 7 4 FM 837.200 580.000 1 6 837.200 483.400 920.900 531.700 920.900 628.400 837.200 676.700 753.500 628.400 753.500 531.700 837.200 483.400 0 0 2.211 3.000 0.868 1.000 0.845 1.000 107040 9 True 3 3.600 1 34.714 0 107040
1 8 4 FM 1004.600 580.000 0 6 1004.600 483.400 1088.400 531.700 1088.400 628.400 1004.600 676.700 920.900 628.400 920.900 531.700 1004.600 483.400 0 0 1.858 2.000 0.750 1.000 0.730 1.000 108040 8 True 3 3.600 0 30.000 0 108040
1 9 4 FO 1172.100 580.000 0 6 1172.100 483.400 1255.800 531.700 1255.800 628.400 1172.100 676.700 1088.400 628.400 1088.400 531.700 1172.100 483.400 0 0 1.705 2.000 0.617 1.000 0.610 1.000 109040 8 False 3 3.600 0 26.328 0 109040
1 6 5 FM 586.000 725.000 1 6 586.000 628.400 669.800 676.700 669.800 773.400 586.000 821.700 502.300 773.400 502.300 676.700 586.000 628.400 0 0 2.595 3.000 0.990 1.000 0.973 1.000 106050 11 True 3 3.600 1 51.052 0 106050
1 7 5 FM 753.500 725.000 1 6 753.500 628.400 837.200 676.700 837.200 773.400 753.500 821.700 669.800 773.400 669.800 676.700 753.500 628.400 0 0 2.131 3.000 0.840 1.000 0.817 1.000 107050 10 True 3 3.600 1 43.896 0 107050
1 8 5 FM 920.900 725.000 1 6 920.900 628.400 1004.600 676.700 1004.600 773.400 920.900 821.700 837.200 773.400 837.200 676.700 920.900 628.400 0 0 1.865 2.000 0.743 1.000 0.724 1.000 108050 9 False 3 3.600 1 38.212 0 108050
1 9 5 FO 1088.400 725.000 4 6 1088.400 628.400 1172.100 676.700 1172.100 773.400 1088.400 821.700 1004.600 773.400 1004.600 676.700 1088.400 628.400 0 0 1.685 2.000 0.611 1.000 0.604 1.000 109050 8 False 3 3.600 4 33.668 0 109050
1 7 6 FM 669.800 870.000 1 6 669.800 773.400 753.500 821.700 753.500 918.400 669.800 966.700 586.000 918.400 586.000 821.700 669.800 773.400 0 0 2.001 3.000 0.795 1.000 0.773 1.000 107060 11 False 3 3.600 1 52.408 0 107060
