plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd hash MB isEngine nROCs power mrot phi HDorLD hash_hdld dataPp0 trigPp0 dataPp1 trigPp1
1 3 1 FI 418.600 145.000 1 6 418.600 48.300 502.300 96.700 502.300 193.300 418.600 241.700 334.900 193.300 334.900 96.700 418.600 48.300 0 1 6.534 7.000 3.088 3.000 3.665 3.000 103010 4 False 6 7.200 1 19.106 1 103011 1010 101010 -55 -33
1 3 2 FI 334.900 290.000 1 6 334.900 193.300 418.600 241.700 418.600 338.400 334.900 386.700 251.200 338.400 251.200 241.700 334.900 193.300 0 1 6.520 7.000 3.089 3.000 3.657 3.000 103020 5 False 6 7.200 1 40.890 1 103021 1010 101010 -55 -33
1 3 3 FI 251.150 435.005 1 6 334.895 386.655 334.829 483.341 251.171 531.641 167.405 483.355 167.471 386.668 251.129 338.368 334.895 386.655 1 0 5.580 6.000 2.660 3.000 3.022 3.000 103030 100 False 6 7.200 0 60.000 1 103031 1020 101020 -55 -33
1 3 4 FI 167.426 579.991 1 6 251.171 531.641 251.155 628.414 167.497 676.714 83.682 628.341 83.747 531.655 167.405 483.355 251.171 531.641 1 0 4.454 5.000 2.187 2.000 2.319 2.000 103040 102 False 6 7.200 0 73.898 1 103041 1020 101020 -55 -33
1 3 5 FI 83.753 725.064 1 6 167.497 676.714 167.432 773.400 83.687 821.750 0.008 773.414 -0.063 676.691 83.682 628.341 167.497 676.714 1 0 3.386 4.000 1.720 2.000 1.776 2.000 103050 102 False 6 7.200 0 83.411 1 103051 1020 101020 -55 -33
1 3 6 FM 0.029 870.050 2 6 83.687 821.750 83.708 918.386 -0.037 966.736 -83.716 918.400 -83.737 821.764 0.008 773.414 83.687 821.750 1 1 2.862 3.000 1.105 2.000 1.088 1.000 103060 109 False 3 3.600 1 89.998 0 103060 1030 101030 -55 -33
1 3 7 FM -83.695 1015.036 2 6 -0.037 966.736 -0.016 1063.373 -83.760 1111.723 -167.439 1063.386 -167.460 966.750 -83.716 918.400 -0.037 966.736 1 1 2.211 3.000 0.868 1.000 0.845 1.000 103070 109 True 3 3.600 1 94.714 0 103070 1030 101030 -55 -33
1 3 8 FM -167.418 1160.023 2 6 -83.760 1111.723 -83.739 1208.359 -167.484 1256.709 -251.163 1208.373 -251.184 1111.736 -167.439 1063.386 -83.760 1111.723 1 1 1.865 2.000 0.743 1.000 0.724 1.000 103080 109 False 3 3.600 1 98.212 0 103080 1030 101030 -55 -33
1 3 9 FO -251.142 1305.009 2 6 -167.484 1256.709 -167.413 1353.432 -251.158 1401.782 -334.887 1353.359 -334.908 1256.723 -251.163 1208.373 -167.484 1256.709 1 1 1.651 2.000 0.607 1.000 0.601 1.000 103090 109 False 3 3.600 1 100.893 0 103090 1030 101030 -55 -33
1 3 10 aOe -334.902 1450.132 2 4 -251.137 1498.418 -418.631 1401.709 -334.887 1353.359 -251.158 1401.782 -251.137 1498.418 0.000 0.000 0.000 0.000 1 1 0.798 1.000 0.317 1.000 0.317 1.000 103100 109 False 3 3.600 1 103.004 0 103100 1030 101030 -55 -33
1 4 0 FI 669.800 0.000 0 6 669.800 -96.700 753.500 -48.300 753.500 48.300 669.800 96.700 586.000 48.300 586.000 -48.300 669.800 -96.700 0 0 3.855 4.000 1.899 2.000 2.015 2.000 104000 0 True 6 7.200 0 0.000 1 104001 1000 101000 -55 -33
1 4 1 FI 586.000 145.000 0 6 586.000 48.300 669.800 96.700 669.800 193.300 586.000 241.700 502.300 193.300 502.300 96.700 586.000 48.300 0 0 4.454 5.000 2.187 2.000 2.319 2.000 104010 2 False 6 7.200 0 13.898 1 104011 1000 101000 -55 -33
1 4 2 FI 502.300 290.000 1 6 502.300 193.300 586.000 241.700 586.000 338.400 502.300 386.700 418.600 338.400 418.600 241.700 502.300 193.300 0 1 4.698 5.000 2.283 2.000 2.452 2.000 104020 4 False 6 7.200 1 30.000 1 104021 1010 101010 -55 -33
1 4 3 FI 418.600 435.000 1 6 418.600 338.400 502.300 386.700 502.300 483.400 418.600 531.700 334.900 483.400 334.900 386.700 418.600 338.400 0 1 4.498 5.000 2.183 2.000 2.313 2.000 104030 5 True 6 7.200 1 46.101 1 104031 1010 101010 -55 -33
1 4 4 FI 334.900 580.064 1 6 418.645 531.714 418.579 628.400 334.921 676.700 251.155 628.414 251.171 531.641 334.829 483.341 418.645 531.714 1 0 3.855 4.000 1.899 2.000 2.015 2.000 104040 100 True 6 7.200 0 60.000 1 104041 1020 101020 -55 -33
1 4 5 FI 251.176 725.050 1 6 334.921 676.700 334.855 773.386 251.197 821.686 167.432 773.400 167.497 676.714 251.155 628.414 334.921 676.700 1 0 3.322 4.000 1.720 2.000 1.708 2.000 104050 102 True 6 7.200 0 70.893 1 104051 1020 101020 -55 -33
1 4 6 FM 167.453 870.036 1 6 251.197 821.686 251.132 918.373 167.387 966.723 83.708 918.386 83.687 821.750 167.432 773.400 251.197 821.686 1 0 2.787 3.000 1.070 1.000 1.055 1.000 104060 106 False 3 3.600 0 79.106 0 104060 1020 101020 -55 -33
1 4 7 FM 83.729 1015.023 1 6 167.387 966.723 167.408 1063.359 83.663 1111.709 -0.016 1063.373 -0.037 966.736 83.708 918.386 167.387 966.723 1 0 2.229 3.000 0.868 1.000 0.847 1.000 104070 107 False 3 3.600 0 85.284 0 104070 1021 101021 -55 -33
1 4 8 FM 0.005 1160.009 1 6 83.663 1111.709 83.734 1208.432 -0.010 1256.782 -83.739 1208.359 -83.760 1111.723 -0.016 1063.373 83.663 1111.709 1 0 1.858 2.000 0.750 1.000 0.730 1.000 104080 108 True 3 3.600 0 90.000 0 104080 1021 101021 -55 -33
1 4 9 FO -83.668 1305.082 5 6 -0.010 1256.782 0.011 1353.418 -83.734 1401.768 -167.413 1353.432 -167.484 1256.709 -83.739 1208.359 -0.010 1256.782 1 0 1.685 2.000 0.611 1.000 0.604 1.000 104090 108 False 3 3.600 4 93.668 0 104090 1021 101021 -55 -33
1 4 10 bOe -167.392 1450.068 2 5 -83.713 1498.405 -251.137 1498.418 -251.158 1401.782 -167.413 1353.432 -83.734 1401.768 -83.713 1498.405 0.000 0.000 1 0 1.204 2.000 0.447 1.000 0.447 1.000 104100 108 False 3 3.600 1 96.585 0 104100 1021 101021 -55 -33
1 5 0 FM 837.200 0.000 0 6 837.200 -96.700 920.900 -48.300 920.900 48.300 837.200 96.700 753.500 48.300 753.500 -48.300 837.200 -96.700 0 0 2.975 4.000 1.165 1.000 1.147 1.000 105000 1 False 3 3.600 0 0.000 0 105000 1000 101000 -55 -33
1 5 1 FI 753.500 145.000 0 6 753.500 48.300 837.200 96.700 837.200 193.300 753.500 241.700 669.800 193.300 669.800 96.700 753.500 48.300 0 0 3.322 4.000 1.720 2.000 1.708 2.000 105010 2 True 6 7.200 0 10.893 1 105011 1000 101000 -55 -33
1 5 2 FI 669.800 290.000 0 6 669.800 193.300 753.500 241.700 753.500 338.400 669.800 386.700 586.000 338.400 586.000 241.700 669.800 193.300 0 0 3.386 4.000 1.720 2.000 1.776 2.000 105020 2 False 6 7.200 0 23.411 1 105021 1000 101000 -55 -33
